osmid=77299, latitude=45.7686534, longitude=4.8524903
osmid=109321, latitude=45.7176615, longitude=4.6046737
osmid=153456, latitude=45.5816744, longitude=4.6978064
osmid=49901, latitude=45.7582291, longitude=4.8462468
osmid=135792, latitude=45.7288571, longitude=4.7454863
osmid=28137, latitude=45.6492493, longitude=4.8456001
osmid=133220, latitude=45.5989076, longitude=4.6027799
osmid=32808, latitude=45.5162608, longitude=4.7920184
osmid=19385, latitude=45.630752, longitude=5.1417978
osmid=77216, latitude=45.5802152, longitude=4.7955522
osmid=130366, latitude=45.8764807, longitude=4.7257427
osmid=110077, latitude=45.8075869, longitude=4.6632957
osmid=26644, latitude=45.9390838, longitude=4.8027312
osmid=133084, latitude=45.7868023, longitude=4.7990076
osmid=28953, latitude=45.5638923, longitude=4.9761045
osmid=55666, latitude=45.6935486, longitude=5.0236121
osmid=10955, latitude=45.7121235, longitude=5.0346046
osmid=54635, latitude=45.6422726, longitude=5.0951994
osmid=63093, latitude=45.7517836, longitude=4.8165722
osmid=71439, latitude=45.7962362, longitude=5.0460103
osmid=98932, latitude=45.6858904, longitude=5.0264205
osmid=43286, latitude=45.7972336, longitude=4.632638
osmid=122468, latitude=45.5941993, longitude=4.7648968
osmid=82339, latitude=45.7760397, longitude=4.8831413
osmid=55392, latitude=45.7713549, longitude=4.9731336
osmid=97023, latitude=45.8075302, longitude=4.6224094
osmid=30882, latitude=45.9356909, longitude=4.654866
osmid=2238, latitude=45.9502162, longitude=4.6998987
osmid=109556, latitude=45.5176331, longitude=5.1322809
osmid=22471, latitude=45.8291268, longitude=4.6970883
osmid=351, latitude=45.6181898, longitude=4.6712409
